"Customer Care Request: Request Number","Reason for Request"
"R04190075308","Client accidentally ordered the wrong preventative for her pet. It is an approved OTC so she is shipping it back to us."
"R04190076917","Client accidentally placed order twice and is shipping it back to us to return to inventory and get a refund - complete refund once it has been returned"
"R01190064207","client A client B situation - reshipping client a new order"
"R04190076856","Client A got Client B's order. Reshipping the correct product with ND shipping client is going out of town and needs this ASAP. Completed reship per Angela"
"R03190071316","client A got client B reshipping"
"R07190087135","Client and clinic upset that medication wasn't shipped Fri 7/12 or Mon 7/15 at latest. Client paid ND shipping. Refunded $19.95 shipping"
"R01190066830","Client angry due to not getting order yet.  Client paid for next day shipping.  Order submitted on 01/28/19, verified 01/29/19 but did not ship until 01/31/19.    Request refund of shipping."
"R03190070728","Client A received Patricia's order. Reshipping to Patricia."
"R03190072252","Client asked after the order was placed to have it sent regular mail, cant take the 19.95 off or change it back to post office shipping. refunding the 19.95"
"R03190071628","Client attempted to place AS order early and 'selected one time only' refunding shipping cost as AS is set up"
"R07190085335","Client called about order placed on 6/29 and had paid for fastest shipping. Product shipped 7/03 because there was an issue with the dosing on file, wanted to get that verified before order could be filled. Refunding shipping paid."
"R05170015771","Client called and had ordered the wrong size Furminator, I reordered the correct one per client request. She is shipping it back to get a refund."
"R07190086130","Client called and stated she just opened box of dry food and she said Ultamino Dry was sent instead of the GI Low Fat Dry she ordered. Reshipping order and closing case and CCR."
"R06190081314","Client called due to a reoccurring issue regarding her dog food and the Auto-ship frequency.Due to the repeated issue of the food not shipping on date stated or dual ordering items were did grant a courtesy refund for her troubles and long history with us"
"R05190077733","Client called due to his shipment being delayed while paying for NDS, Client did want a refund for shipping cost and I was able to get that approved for him."
"R03190070851","client called due to order being late, stated they were told it would be there by Saturday, order received on Monday, w/in shipping time frame, client request refund for shipping, ccr submitted."
"R06190084698","Client called in as she order too large of a  qty of medication (WAG case) I helped her place new order with a discount and flagged at ND shipping. Her husband called in today saying bet no longer needs it. Please refund 10%"
"R06190084689","Client called in escalated he was charged for the 2nd days shipping. We are refunding this one time as a one time courtesy ."
"R06190083911","Client called in escalated re: ON 1000011675348. Stated that she was not informed that the $14.95 shipping was 2-3 BUSINESS days. Courtesy refund of the shipping cost."
"R07190085651","Client called in irate that we couldn't stop an order for Royal Canin food. Didn't offer a palatability refund as she confirmed her pet will eat it. 15% of order + shipping cost refund approved per Emily Meyer."
"R03190071574","Client called in the order was sent back to the warehouse, saying the address was incorrect. Client confirms that the address is 14045 Mill Street Guerneville CA 95446. Please send the Trifexis back out using FedEx ND shipping."
"R05190078146","Client called stating that her pet would not eat the c/d and was wanting to have a refund she only used one can out of the 24pk. we refunded the shipping as a one time courtesy."
"R05190079492","Client called to cancel this order from shipping, due to these items already shipping it cannot be cancelled. As a courtesy we were allowed to refund only 10% of the order"
"R05190077471","Client called to have his AS order placed earlier than the AS date. When the agent placed the order they did not choose the AS option. The item ordered is on AS and client should not have been charged for shipping and did not get the 10% RC/AS discount"
"R03190071358","Client called to place an order and updated his cc info - but agent placed order under an expired cc that the client asked to be deleted (refund for 2D shipping cost)"
"R06190084052","Client called to see if her shipping can be refunded ,  TL approved Refund one time only"
"R05190080510","Client called to track her package, Wasn't able to guarantee that this was actually shipping or not so we have decided to Reship another order to ensure she gets this product."
"R05190080503","Client called to track her package with us, Was informed that this order is in Pending Authorization since the day she ordered 05/24
Client needs the medication and will also contact the vet as well to expedite the issue. Also offered to refund shipping."
"R04190074385","Client called w/ DL# and DOB but agent didn't reactiate the order on 04/08. Client got reminder email and I reactivated the order today, 04/10. Please refund ND shipping fee."
"R06190082258","Client called with two failed shipping attempts to her address on file, very upset and needing this medication sent ASAP. Client will be having this item shipped to Stone Ridge directly to ensure delivery of this item. is the address 12310 Woodcreek Dr St"
"R05190079022","client ci to state AS still shipping out after she adjust date , submitted ccr for 50% refund due to AS error submitted ccr for 22.47 per April L"
"R05190079066","client ci to state she update shipping to california address but it still went to MI address Jenae F approved reship of order sunmitted reshp ccr"
"R06190084769","Client claims she didn't get it, did not report until 1 month later. Refunding pharm fee and shipping as courtesy."
"R04190075434","CLIENT CREATED A FSD TO SET UP AS. Please refund for shipping on this order."
"R01190063982","Client curtsy, refunding shipping"
"R06190084797","client didn't put the apartment letter on his order online. The post office returned it to us. Please send back to the following address with expedited 1-2 business day shipping. 

Elliot James 
519 N Maney Ave Apt A
Murfreesboro, TN 37130-2962"
"R01190064133","Client didn't realize she had this product set up with autoship. Clients shipping and handling was almost as much as the product price. Per lead Angela refund amount is for $10
*negotiated shipping and pharm fee refund client will pay for product."
"R05190079520","client did not get order and shipping say delivered"
"R04190075232","client did not get the ND shipping was held in fraud"
"R05190079176","Client did not receive email for CC -Decline and was upset he had to pay for shipping now that he is out of medication. Case 02433704 addressing not receiving emails."
"R01190063936","Client did not receive her food, she got a clinics food order instead. Reshipping her food to her"
"R05190078921","Client did not receive her other bag of dog food with her recent order. Reshipping the one bag that she did not receive."
"R05190078633","client did not receive order , reshipping per hills"
"R01190063458","Client did not receive the food, reshipping per the client"
"R06190082589","Client diet order shipping to clinic for pickup but they did not receive per as FedEx tracking indicates."
"R01190063870","Client does have AS hit one time only and was charged shipping. Per Angela refunding the 14.95 as one time courtesy."
"R01190063789","Client emailed in upset about having paid for expedited shipping and receiving their package later than they thought it would arrive. Shipping refund per Janet."
"R01190066543","client escalated about paying for faster shipping after stating item is OOS until 1/31- refund once shipped"
"R06190083027","Client escalated as order has not shipped yet. Please refund shipping cost."
"R01190064785","Client got Royal Canin GI High Energy Dry for Dogs with a tear in the bag reshipping food"
"R03190071341","Client had a delay due to needing to verify the dosage and get a new rx, approved by Emily to refund shipping"
"R06190083213","Client had a discussion yesterday wit ha rep, there was an autoship issue and the order never went out. Representative agreed to flag order for ND shipping at no  charge.  Unfortunately  $19.96 fee was added to the order."
"R02190067665","Client had a few cans that were dried out. Per Heidi, reshipping full case to make client happy."
"R03190072841","Client had an AS order that was placed mainly through our system by one of our staff and they processed it as a one time only instead of leaving it on AS. Per lead Angela refunding for shipping that was charged"
"R07190085933","Client had an issue with the insulin due to our error. Submitting refund for shipping fee."
"R01190065729","Client  had AS set up but had to re-order due to decline. He got confused and was in a hurry and ended up paying shipping cost."
"R01190065669","Client had order placed via autoship and forgot to update address, client had moved within last five months.  Client had placed new order to replace order she didn't receive. Refund approved for missing order and expedited shipping fee on new order by CS"
"R01190065670","Client had order placed via autoship and forgot to update address, client had moved within last five months.  Client had placed new order to replace order she didn't receive. Refund approved for missing order and expedited shipping fee on new order by CS"
"R03190072112","Client had paid for 1-2 business days shipping and this"
"R04190075425","Client had paid for express shipping but order for the Gabapentin Flavor Tablet Compounded was held up to get the clients DL and DOB. Per lead Emily we will honor a refund for $19.95"
"R06190084734","Client had placed an original order of 1000010969671 for  Royal Canin Cat Gastrointestinal Fiber Response Dry 8.8lb Bag & 
Revolution® Plus Cat Green 11.1-22 lbs 12pk. Order had a 20% discount and was did not have a shipping charge"
"R07190084875","Client had requested that next order would ship to her vets' office at 1010 el camino & the agent through chat didn't update shipping address. Reship authorized per Heidi."
"R05190080009","client has already received a $119.51 refund for order shipping out to soon only refunding 69.34 to refund for both RC items not received"
"R01190064331","client has not received order reshipping"
"R06190084801","Client has now waited over a week since placing the order with no ETA on shipping."
"R04190075431","client highly escalated about delivery time and location advised her to contact UPS but refunding shipping fee"
"R07190085669","Client is aware of us being unable to send via UPS to a PO Box, refunding for her shipping."
"R01190064099","client is ESCALATED. Thought order going to arrive 1/5, also thought when Rx was sent by clinic on 12/28, order was placed. Refunding shipping fee"
"R01190063682","Client is mad that she placed an order 12/28 and it didn't ship until 1/03. Refunding shipping per Cory."
"R05190079535","Client is moving to hawaii and no longer needs this order, decisions made to cancel seconds after the order was placed, Since Hawaii isn't ground shipping accessible TL approved paliability Refund"
"R06190084581","Client is on AS but the order was cancelled for the eye drops.  So we have reordered the treats for this order but charged her shipping when its an AS item and should have been free shipping.  Per EG can refund that shipping cost."
"R02190067106","Client is sending this order back to us, agent error not canceling the first order caused the client to get 2 orders. Client says both shipping boxes are still sealed so she will just refuse the extra package."
"R07190087558","Client is upset about the delay in shipping times due to exception. Took pharmacy 4 business days to call out. Refunding shipping fee+ 7.64 since we are not able to ship temp sensitive over weekend"
"R07190087165","client is upset that her product gets left in the sun and it is temp sensitive, Morgan said we can do a one time refund on the faster shipping."
"R03190072184","Client is upset that she paid express shipping ( 1-2 Business Days) and still has not received her order client would like to get a refund of the 14.95 that she paid for shipping"
"R02190067046","Client is upset that we did not see our communications after the cut off time for the Saturday shipping. Indicated that we would refund the shipping."
"R01190066687","Client is upset with FedEx because the package has been delayed for 2 days due to the weather. Client states it is not that bad. Today is the 3rd business day, so refunding shipping."
"R07190087195","client is upset with service. per shaila, we can refund shipping costs"
"R05190080234","Client is very upset that her order did not arrive on Friday with our fastest shipping method. Submitting refund for the shipping on this order as a courtesy since she was quoted overnight delivery."
"R03190070490","client just recieved food in the process of it shipping his dog passed away issuing one time palatability refund for inconvenience."
"R02190069588","Client moved and called in with the correct address of  758 SFC 311, Forrest City, AR 72335. Please ship back out, shipping address was also updated in PA."
"R07190085430","Client needs medication before the shipping would take it to. Flagged order and refund for shipping."
"R03190071241","Client never provided the physical address, and we had to change the shipping method. Refunding cost of ND ship"
"R04190074191","Client never received her food order. FedEx still shows it as a pending. Re-shipping new bag of food."
"R03190071796","Client never received her original order of dog food. Per lead Angela reshipping food again"
"R05190077774","Client never received his original order of canned food for his pet. Reshipping his pets food"
"R04190076467","Client only got 1 - reshipping 1"
"R05190078221","Client only received 1 bag of food but had ordered 3. Checked her ringer app to see if it was stolen but did not receive anything reshipping per Angela for 3 bags"
"R06190083802","Client only received 30 tablets - reshipping 90 tablets"
"R01190066431","Client only received the wet food and none of the dry food. 
Reshipping the food to them"
"R06190082046","Client order both food and cat treats and only received the food in her shipment. Reshipping the bag of cat treats per lead Cory"
"R02190068527","Client ordered 2 bags of food but only received 1. Reshipping a bag as a courtesy."
"R05190080046","Client ordered Hill's® Prescription Diet® Cat Metabolic Weight Management Dry Dosage : 17.6lb Bag Package Quantity : 1 bag and received Hills Prescription Diet Urinary Care  c/d Multi care Stress. Reshipping correct product.
Order # 1000010831826"
"R04190074915","Client ordered the medication on 4/1, had 2nd day shipping, and the package didn't arrive until today due to issue with Fedex. Refunding order total to client due to issue. Received approval to refund in full from Angela."
"R03190072648","client ordered with 1-2 BD shipping, today is the 3rd BD."
"R05190078127","Client ordered wrong prevention not an Rx so she is responsible for shipping it back to warehouse. once we recieve refund will be issued to card that was used to make the purchase"
"R05190078900","client order Hill's® Prescription Diet® Dog i/d? Digestive Care Chicken & Vegetable Stew 5.5oz Can 24pk but received the cat version will be reshipping out correct shipment"
"R06190084752","Client original reship was sent to the incorrect address. Reshipping food to be sent to the correct address"
"R01190064912","Client paid for 1-2 business days, Next Day shipping and is worried that Clindamycin HCl Sugar-Free Liquid is not usable because it is temperature sensitive and has been travelling for 4 days - wants refund for shipping"
"R01190066728","Client paid for 1-2 business days for shipping and has not received order yet and would like to get a refund for the extra money she paid for shipping. Per lead Jenae will honor the refund for the $19.95 that client had paid"
"R07190086196","Client paid for 1-2 business day shipping, however did not receive package in that time. Emily Meyer approved on a refund just for the shipping cost."
"R12180062931","Client paid for 1-2 business day shipping, however they were not aware it was through Fedex and their PO Box was selected as the address. 
This was shipped priority through USPS, and will arrived Monday which is the 3rd BD."
"R01190064917","client paid for 1-2 business shipping and 3M vetrap was on OOS until 01/15/19 Emily M approved shipping refund"
"R04190074314","Client paid for 1-2 day shipping, but the medication has been in exceptions and the pet has since run out. Client became escalated and requested a refund of shipping charges. Lead approved."
"R07190086900","Client paid for 14.95 for 2nd day shipping upset order is taking a bit refund shipping paid due to inconvenience"
"R04190075117","Client paid for 2-3 day express shipping and his order has yet to ship."
"R07190086492","Client paid for faster shipping but has been stuck in exceptions. Refund shipping cost."
"R05190078583","Client paid for NDS for her Prednisolone and is requesting that her shipping fee  to be refunded. 
We did approve the 14.95 refund for this order.
Package is due to arrive a day late from the 1-2 day shipping"
"R03190071867","Client paid for ND shipping but to PO Box, changed shipping to USPS, please refund shipping fee"
"R02190069694","Client paid for next day shipping, order didn't ship until 2nd day.  Client requested refund of shipping fee."
"R03190070808","Client paid for next day shipping on her 1st order with us. Client was unaware that the order had to be approved by vet and that we do not ship out on the weekends. Client requested a refund of the shipping due to not being explained our process."
"R07190085242","Client paid for next day shipping on order still processing out ware house due to confirming if order was a duplicate order. Previous order was delivered to wrong address  client needs medication asap will credit back the 19.95 shipping he paid"
"R02190067076","Client paid for the 1-2 business day shipping - due to system update it's not going to arrive within that time frame. Refund on shipping per Darla."
"R01190066692","Client paid to have the 1-2 day shipping and had just received his order today when the order was placed on 1/24/19. Client would like to get a refund. Per lead Angela we  will give a refund for the shipping $ 19.95"
"R07190087145","Client payed for 2nd day shipping. this is 2-3 business days - it arrived Monday. That being with in the shipping time frame. However as she was very escalated and upset we did go head and refund the shipping cost this one time as a courtesy."
"R06190084297","client placed order 6/20/2019, she paid for 1-2 business day shipping, pet died over the weekend."
"R04190075485","Client placed order number 1000009781794 on 4/13 with 1-2 business day shipping. Order shipped via FedEx (786657949830) on 4/15, but showed no tracking information or movement as of 4/18."
"R03190071855","client placed order on 3/16, was approved 3/19. Per Emily M we can refund the shipping cost"
"R07190085618","Client placed order on 7/03 and delivery is set for Monday 7/08. Vetsulin needs to be kept a certain temperature and was sent over the holiday and the weekend. Will start reship for product so that it is in the correct temperature. Will refund shipping."
"R03190071527","Client placed order online and was under the impression he was choosing AS, AS is currently set on the account. Approved to refund the shipping cost."
"R04190074125","Client placed order w/ 2nd day shipping fee but used a po box. We tried to reach out to client to get a physical address. no response in a week. Sending standard w/ po box. Please refund shipping fee."
"R05190078488","Client placed the order on 05.06.19 and paid for 2-3 day shipping. Order has not yet shipped due to the order not being approved until 5.14.19. Please refund the shipping for the client as a courtesy."
"R03190072177","Client placed this order and paid for faster shipping but it is in pending auth so she didn't get it.  Refunding for shipping."
"R03190070484","client prefers a refund over a reshipment because I could not provide expedite shipping for food order. cancelled AS setting per request. Client was sent the wrong product."
"R03190072007","Client put his new shipping address on file however did not set this address to a default address. AutoShip sent this order to his old address. Client did not set up/does not plan to set up mail forwarding. Client is looking for a reship."
"R07190085772","Client put in the wrong address she needs it to go to the P.O. Box 620447 Woodside, CA 94062 if its going usps. she would like that to go nxt day shipping."
"R02190068025","client put wrong Shipping Address on order and it was returned back to our Omaha Facility ( 9400110205492011640340) she does want the order once recieved please send to correct address 19512-B 24th Dr SE,Bothell, WA 98012"
"R01190064974","Client received 2 of her cases of food but instead of the 3rd case she received a bag of dog food. Reshipping correct order and told client to donate the dog food to her clinic."
"R04190074091","client received 3 of the 4 items from order 1000009458688, did not receive the Zycortal® 25mg/mL 4mL, she was very upset as she paid the 14.95 to get this shipped quicker and with it being temp sensitive, wants refund for product and shipping when receive"
"R01190064170","Client received a 25lb bag of dry food. Took it to the clinic and they stated they were going to call us and make sure we sent him the correct product. They have not contacted us. Reshipping case."
"R07190085078","Client received a bag of cat food instead of a bag of dog food that he ordered. Reshipping due to client not getting the correct food"
"R03190070343","Client received a different product of food that was not the correct food she ordered. Per lead Angela reshipping the correct product"
"R04190075128","Client received an empty box with only a packing slip but no product. Reshipping per lead April"
"R03190070722","client received a non Cov clients diet order. Reship due to shipping issue"
"R04190075941","Client received another clients order of royal canin food. Per lead Cory reshipping the correct food for this client."
"R04190074901","Client received bag outside of the shipping box."
"R05190078585","Client received cat food in her original order instead of the dog food that she ordered. Reshipping to get client her dogs food"
"R04190073753","Client received dog treats instead of cat treats reshipping the correct treats to the client"
"R03190070174","Client received everything in her order except the hills prescription dog food. Client is needing that food so reshipping just that food to the client per lead Angela"
"R04190075288","Client received her order of canned food and the box it was shipped in was pretty distroyed and some of the cans were dented in the shipping process. Per lead April reshipping new case of food."
"R03190070584","Client received only 2 boxes of fortiflora. One is missing - reshipping"
"R07190085899","Client received order  in mail and and bottle was warm. temp was 92 degrees and recommended storage temp is < 86 degrees.  Pls RESHIP NEXT DAY  ON TUESDAY TO BE DELIVERED WEDNESDAY . Client will be home ALL day WEDNESDAY . No charge on medication/shipping"
"R02190067839","Client received order placed 1/25/19 on 1/28/19. Opened package today but nothing was in the box. Says she didn't think anything of the weight since FortiFlora doesn't weigh much anyway. Shipping info says package weighed 0.10lbs. Got approval to reship."
"R02190066975","Client received package but once opened nothing was inside but shipping wrap and the shipping slip placing reship"
"R07190086690","Client received recent order of Vetsulin at room temp due to UPS driver delivering late and leaving item out in the sun. Said the 6 insulation bags were melted and the Vetsulin was room temp at best. Got approval from Cory S to issue refund for shipping."
"R01190064468","Client received someone else's food. Reshipping food."
"R04190075615","Client received someone else's order. Incorrect order did contain one 6.6lb bag of the Royal Canin Cat Multifunction Urinary + Calm Dry 6.6lb bag so reshipping one more to client so she can obtain the full paid for order"
"R01190066584","Client received someone else's order of cat food and she ordered dog food. Reshipping so client can get the correct food she needs."
"R07190087592","Client received the incorrect diet. reshipping order"
"R07190085220","Client received the incorrect food. Reshipping the food"
"R05190079261","Client received the incorrect food in her original order. Reshipping food so she can get the correct one"
"R06190082600","Client received the Oravet instead of the Dasuquin. Re-shipping the Dasuquin."
"R02190067604","Client received the order on 2.7.19 and noticed that 6 cans have been damaged during shipping."
"R03190070345","Client received the wrong order and is being refunded for 1-2 business day shipping since we were not able to flag it for faster shipping since its food. Refund per lead Angela"
"R07190086102","Client received vetsulin order and it was warm and the ice packs were completely melted. Reshipping due to her not being able to use the product she received."
"R01190063923","client received what looks to be a button in pet food. Per Cory reshipping."
"R04190073485","Client received wrong product. Reshipping per Courtney."
"R04190073151","Client received wrong product. Reshipping per Lori."
"R03190070101","client recv. medication , but the box did not have tape on the ouside, client does not feel medication is safe to give pet since there was no tape (security seal) on the shipping box."
"R04190075770","client reordered for expedited shipping please refund when returned"
"R07190086262","Client reports it appears cans were damaged in manufacuture, not shipping. Client has requested a refund. Will purchase locally"
"R01190064070","client requesting shipping cost refunded due to eta for order showing 01/08/19 approved per Jenae F"
"R06190084679","Client Rx did not get added on her first order 1000011880802 which she paid for expedited shipping. She had to place a second order 1000011880823with expedited shipping. she would like to be credited for the shipping on one of the orders .. Heidi Approved"
"R01190063554","Client said she was told her order would be there on a specific day, but it didn't. Client requested being refunded for shipping but the product was received in the stated 2-3 business days. $5 refund was approved by lead Emily"
"R01190064221","clients AS was sent to wrong address, RC food had already delivered reshipping to correct address"
"R12180062691","Client says she does not want to pay for shipping the 1-2 days since we are out of stock."
"R05190078084","Client says she never called to order this  medication and she never received emails notifications it was shipping (we checked her spam). She was very escalated but accepted the 20% refund offer. I removed her autoship. Please refund 20% of order."
"R03190071117","Client says that the product is to hard for her pet to actually eat. Per Emily and new OTC policy reshipping the product per the client"
"R04190076685","Client set FSD was not aware of shipping charge for one time order, approved by sup to refund shipping and set future ship date."
"R04190074371","client should have received the auto-ship price as well as free shipping."
"R06190084333","Clients order is being returned back to us due to shipping to incorrect address. Once we received this order client would like us to send it back out. See notes for Send back out address."
"R06190082038","Clients original order never shipped out but he was charged for that order. Reshipping this order per lead Cory. Since client only has 3 pills left of this medication that he should have got a long time ago"
"R06190081280","Clients original said it was delivered but she did not receive it. Reshipping another case of her pets food per lead Heidi."
"R07190085095","Clients package said it was delivered but she never received it. Reshipping due to her never getting the original order"
"R01190063949","Clients pd ND shipping order is still ship ready as of 1/5/19, refunding shipping (19.95) per Cory"
"R03190071812","Clients product said it was delivered but she did not received. Reshipping  her canned food, client is completely out of food. Calling vet to get more"
"R06190084011","Clients recent order had mostly all damaged cans. Reshipping new case of canned food"
"R02190068898","Clients RX went OOS after he ordered it with the 1-2 day shipping. Client would like to be refunded for shipping since it didn't come at the rate it should of. Per lead Angela refund for $19.95 shipping"
"R07190085079","Client stated cat didn't eat a whole case out of her order. Reshipping one case."
"R04190076807","Client stated that she was promised a refund of her shipping because her order took 20 days to be delivered. No one told her about the BO until she called."
"R06190084015","Client states that the address that he placed was wrong. the new address that that order needs to be shipped out to is 600 NE 27th St apt 2301 Miami FL 33137. he is wanting us if possible to resend that out to him at ND shipping."
"R03190071001","CLient still hasnt received order 1000008498705 placed back in 2/25/19. Looks like a glitch in system order is still pending will be shipping out reship no cost"
"R01190063541","Clients vet told her that they had placed an order for their RX but they never did. So we did the 1/2 business day- next day shipping. Tried to apply a coupon to cover it but the subtotal wasn't enough to cover it. Refund amount is $19.95"
"R06190081998","client that didnt know order was set on AS  doesnt use food anymore been OOT just found out it was shipping removed AS one time palatbility refund due to inconvenience"
"R04190074933","Client unable to click on the link about shipping on the website. Thought that the shipping was free and wanted to cancel the order. Unable to cancel due to the product being diet. Will honor one time courtesy palatability refund for client."
"R05190078075","client unhappy with shipping time, 15% refund per Angela as one time courtesy"
"R01190065380","Client upset about shipping delay due to exceptions. Still within 3-5 days but ok'd for $5"
"R03190070558","Client upset about shipping fee."
"R05190079358","Client upset regarding shipping charge for this order, advising it was warm enough to ship regular. Approved by lead to refund."
"R03190070633","client upset states he never received and call or txt refer to case 02260294 upset tht his order was jus shipped today offered to refund shipping due to inconvenience accepted"
